정장	正裝; парадная (полная) форма
채우다	1. запирать (на замок); застёгивать (на пуговицы); закрывать; 문을 ~ запирать дверь; 단추를 ~ застёгивать на пуговицы; 2. наливать (жидкость); наполнять; заполнять; 3. завершать (к условленному сроку); удовлетворять чьи желания; 욕망을 ~ утолить желание; 4. отбывать наказание; отсиживать срок
잠그다	запирать; закрывать; погружать; опускать; окунать
물다	держать (во рту, в клюве); кусаться; хватать; 담배를 ~ держать сигарету во рту; ; 물다 ; платить; возмещать; 얼마나 물어야 합니까? Сколько с нас?
기르다	выращивать; выхаживать; откармливать; воспитывать; выпестовать; воспитывать; прививать; отращивать; запустить; 아이들을 ~ выращивать детей; 우수한 전문가를 ~ воспитывать способных специалистов; 음악에 대한 취미를 ~ прививать вкус к музыке
놓이다	быть отпущенным; быть освобождённым; успокаиваться; находиться; лежать (на чём); быть установленным; быть сооружённым; 기숙사 입구에 전화가 놓였다 У входа общежития установлен телефон.; 나는 지금 곤란한 처지에 놓여 있다 Сейчас я нахожусь в затруднительном положении.
그러하다	такой; 그러한 경우엔 в таком случае
영혼	영혼 靈魂; душа; дух; ~ 불멸 бессмертие души
미묘	미묘 微妙; ~하다 тонкий; утончённый; деликатный; 미묘한 문제 деликатный вопрос; ; 미묘 美妙; ~하다 1. красивый; изысканный; элегантный; 2. мелодичный
반응	반응 反應; реагирование; реакция; эффект; воздействие; ~하다 среагировать; вступать в реакцию
폭풍	폭풍 暴風; буря; шторм; ураган; ~의 (~ 같은) бурный; штормовой; ураганный; ~이 일다 штормить; ~ 때문에 우리는 밤새 눈을 붙이지 못했다 Из-за бури мы всю ночь не сомкнули глаз.; 찻잔 속의 ~ буря в стакане воды; ~ 경보를 내리다 предупреждать о буре
폭풍우	폭풍우 暴風雨; буря и ливень
심하다	심하다 甚－; сильный; резкий; жестокий; 심한 모욕 жестокая обида; 심한 추위 крепкий мороз; 심한 코감기 сильный насморк; 심한 폭우 сильный ливень
몰다	гнать; сгонять; загонять; отгонять; отпугивать; управлять; водить; преследовать; направлять; поворачивать; ругать; поносить; ...로 ~ считать (рассматривать; обращаться) как ...; 죄인으로 ~ считать преступником
빗줄기	струи дождя
두드리다	стучать; бить; колотить; 문을 ~ стучать в дверь; 주먹으로 ~ бить кулаком
틈새	трещина; щель; узкое место; 추위 때문에 돌에 ~가 생기다 камень трескается от холода
비명	비명 非命; вопль; крик; ~지르다 вопить; кричать
두르다	окружать; огибать; обходить по краю; окутывать; обматывать; обвязывать; надевать; 목도리를 목에 ~ обвязать шею шарфом; 머리에 수건을 ~ повязать голову платком
뛰어나가다	выбегать; выскакивать; неожиданно (внезапно) появиться
이어서	continuously; successively; subsequently; soon after.
금속	금속 金屬; металл; ~의 металлический; ~이 함유된 металлоносный; ~ 가공업 Металлообрабатывающая промышленность; ~ 건자재 металлические строительные материалы; ~결정 кристалл металлов; ~공업 металлургическая промышленность; ~공학 металлургия; ~관 металлическая труба; ~물리학 металлофизика; ~산화물 окись металла; ~ 전자관 металлическая радиолампа; ~ 절삭공구 металлорежущий инструмент (прибор); ~피복 металлическое покрытие; ~활자 металлический подвижный шрифт
두려움	страх; боязнь
램프	램프 англ. lamp; лампа; фонарь; светилник
공포	공포 公布; обнародование; официальное объявление; опубликование; ~하다 обнародовать; официально объявлять; опубликовывать; ; 공포 恐怖; страх; боязнь; ~ 정치 политика запугивания; ; 공포 空砲; холостой выстрел; ~ 사격 холостой выстрел; = 헛총
구조	구조 救助; спасение; помощь; выручка; ~하다 спасать; помогать кому в чём; выручать кого что; оказывать помощь кому в чём; 인명을 ~하다 спасать кому жизнь; ~ 신호 сигнал бедствия; сигнал SOS; ~ 작업 спасательные работы; ; 구조 構造; конструкция; структура; устройство; строй; ~의 конструктивный; ~ 조정 регулирование структуры
청하다	請－ просить; звать; приглашать
마치	точно; словно; как будто; ~ 꾀꼬리처럼 노래하다 петь, словно соловей
비틀거리다	идти пошатываясь
달려가다	бежать; 그느 급히 옷을 입고 병원으로 달려갔다 Он торопливо оделся и побежал в больницу.
주저앉다	плюхаться; тяжело садиться; опускаться; оседать; рушиться; разрушаться; обваливаться; проваливаться; 피곤한 모습으로 소파에 ~ устало опускаться на диван; 집이 ~ рушится дом; 다리가 주저앉았다 Мост обвалился.
고통	고통 苦痛; боль; мука; страдание; ~스럽다 мучительный; ~을 주다 мучить
몸부림	~ 치다 метаться; барахтаться; корчиться; ворочаться во сне
경련	경련 痙攣; судорога; конвульсия; подёргивание; спазм; ~이 일다(~하다) сводить что судорогой; подёргиваться; 심장~ сердечные спазмы; 피부~ спазмодермия
일으키다	поднимать; возбуждать; вызывать; 공포심을 ~ вызвать страх; 호기심을 ~ возбудить любопытство; 먼지를 ~ поднимать пыль
알아보다	распознавать; узнавать; расспрашивать
정신	정신 精神; дух; душа; ~의 душевный; духовный; умственный; ~분석 психоанализ; ~상태 психика; моральное состояние; ~위생 психогигиена; ~이상 душевное (психическое) расстройство
흘리다	лить; проливать; выливать; просыпать; рассыпать; ронять; терять; лишаться чего; разделять (распределять) по-немногу (частями); писать неразборчиво (скорописью); делать едва заметные штрихи; прослушать; пропустить мимо ушей; пускать по течению; сплавлять; выболтать; выдавать; открывать; извещать кого о чём
되찾다	снова искать (разыскивать)
기력	기력 汽力; = 기운
멈추다	прекращать(ся); переставать; останавливать(ся) ; 눈길를 ~ остановить взгляд на чём
가엾다	жалкий; несчастный; бедненький; ничтожный; 가엾게 여기다 жалеть; сжалиться (над кем-л.); 가엾은 고아 несчастный сирота; 가엾기도 하다 какая жалость!
끔찍하다	поразительный; удивительный; ужасный; чрезмерный; чрезвычайный; ужасный; ужасающий; вызывающий содрогание; 끔찍하게, 끔찍히 поразительно; удивительно; чрезмерно; ужасно; 끔찍한 광경 ужасающее зрелище; 엄마는 끔찍하게 제 자식을 사랑한다 Мама ужасно любит своего ребёнка.
착각	착각 錯覺; ошибочное (превратное) представление; иллюзия; заблуждение; несбыточная мечта; галлюцинация; обман чувств; ~하다 заблуждаться; создавать себе (строить) иллюзии; создавать ложное впечатление; питать иллюзии; 도둑으로 ~하다 принимать кого за вора; 그녀의 ~은 산산조각 났다 Её иллюзии рассеялись.; ; 착각 錯角; противоположный угол
잠옷	ночная рубашка; пижама
바라다	надеяться; желать; хотеть; 건강을 바랍니다 Желаю вам здоровья.
성냥	спички; ~갑 коробка спичек; ~개비 (одна) спичка
성냥갑	성냥갑 -匣; спичечный коробок
낌새	признак; симптом; намёк; ~를 채다 догадаться
살펴보다	рассматривать; разглядывать; 지도를 ~ рассматривать карту
결론	결론 結論; вывод; заключение; заключительное слово; ~(을) 짓다 делать вывод; выступать с заключительным словом; ~이 나다 заключаться; заканчиваться
포악	포악 暴惡; ~하다 жестокий; безжалостный; злой; ~무도하다 крайне жестокий
인근	인근 隣近; сосед, соседство
널리	широко; просторно; великодушно; снисходительно; благосклонно; 그의 명성은 소장학자들에게 ~ 알려져 있다 Его имя распространено (широко известно) среди молодых учёных; 저희를 ~ 용서해주세요 Простите нас великодушно.
끝내	в конце концов; наконец
사인	사인 sign; подпись; ~하다 подписываться; расписываться; ; 사인 死人; мертвец; умерший; ; 사인 死因; причина смерти
밝혀내다	
굵다	толстый; крупный; большой; басистый; громкий; мощный; грубый
막대	
구식	구식 舊式; старый тип; старая мода; ~의 старого типа; старомодный; устаревший
문단속	문단속 門團束; ~하다 закрывать двери на замок
구석구석	каждый угол; в каждом углу; ~ 찾다 искать по всем углам
편이	편이 便易; ~하다 удобный; легкий
상처	상처 傷處; рана; ~를 입다 быть раненым; пораниться; ~난 곳에서 피가 흐르고 있다 Из раны идёт кровь.; ~를 치료하다 залечивать рану; ~가 아물었다 Рана залечилась.
독살	독살 毒殺; убийство при помощи яда; отравление; ~하다 отравлять; ~당하다 быть отравленным; ; 독살 毒煞; злоба; ~스럽다 злобный; ядовитый; язвительный; ехидный; ~스레 со злобой; язвительно; ехидно; ~을 부리다 злиться; ехидничать
감당	감당 堪當; ~하다 выдержать; справиться; вынести; брать на себя; ~할 수 없다, ~하지 못하다 не справляться (с чем-л.)
쇼크	쇼크 англ. shock; шок; побуждение; импульс; толчок; удар; скирда; ~를 주다 дать толчок; 그의 사망은 우리에게 큰 ~였다 Его смерть была для нас тяжёлым ударом.; 이 전구를 만지지 마라, 그러지 않으면 당신은 전기 ~를 받게 될 것이다 Не трогай эти лампочки, а то тебя ударит током
그리다	1. = 그리워하다; 2. рисовать; писать красками; чертить; изображать; описывать; воображать; представлять себе; рисовать в воображении; 지도를 ~ чертить географическую карту; 그녀는 간혹 마음속으로 자신을 미인이라고 그려 보곤 한다 Иногда она в мыслях воображает себя красавицей.
당시	당시 當時; тогда; в то время; ~의 тогдашний; 전쟁 ~에 во время войны
곧잘	довольно хорошо; прилично
물방울	водяная капля
착란	착란 錯亂; отвлечение; раздор; путаница; ~의 путаный; беспорядочный; нелогичный; бессвязный; ~하다 быть растерянным; сбиваться с толку; ~상태 состояние слабоумия; 정신~ слабоумие
헛소리	болтовня; вздор; чепуха; бессмыслица; нелепость; бред; ~하다 бредить; нести (говорить; молоть) вздор; врать
담기다	быть положенным во что (на что); быть вложенным; быть наполненным (налитым; набитым); 끓는 물이 다긴 컵 стакан, наполненный кипятком; 정성이 가득 담긴선믈 подарок от всего сердца
청혼	청혼 請婚; предложение; ~하다 делать предложение; просить руки
구멍	отверстие; дыра; щель; нора; яма; отдушина
오지	오지 奧地; глухое место в горах; медвежий угол; глубь страны; глубинные районы (пункты)
정적	정적 政敵; политический противник; ; 정적 靜寂; тишина; уединение; ~하다 тихий; уединённый; ~을 깨트리다 нарушать тишину
예고	예고 豫告; предупреждение о чём; предуведомление; ~하다 предупреждать кого о чём; предварительно уведомлять о ком-чём (извещать кого о чём); предуведомлять о ком-чём; 위험을 ~하다 предупреждать об опасности; ~없이 без предупреждения (предуведомления)
벌떡	внезапно; ~ 일어나다 внезапно вставать
도무지	совсем; совершенно; вовсе
몰래	незаметно; украдкой; тайком; потихоньку; ~~ совершенно незаметно (тайно)
감싸다	1. обертывать; завертывать; 2. покрывать; брать под защиту; 죄인을 ~ покрывать преступника
얹다	класть на что; наложить; набавлять; прибавлять
엄지	большой палец; ~발가락 большой палец (на ноге); ~발톱 ноготь большого пальца (на ноге); ~손가락 большой палец (на руке)
반점	반점 斑點; пятно; крапинка; запятая; ~을 찍다 ставить запятую
선명하다	선명 鮮明; ~하다 ясный; отчётливый; чёткий
드러나다	показываться; обнаруживаться; выявляться; приобретать широкую известность
손찌검	рукоприкладство; ~하다 бить рукой
당하다	당하다 當－; сталкиваться с чем; попадать; оказываться; подвергаться; испытывать; терпеть; встречать; преодолевать; побеждать; выносить; выдерживать; справляться с чем; снабжать; поддерживать; соответствующий; подходящий; уместный; 검거를 ~ быть арестованным; 모욕을 ~ терпеть оскорбление; 불행을 ~ попасть в беду; 어려움을 ~ сталкиваться с трудностями; 그는 이 일을 당해 낼 수 없다 Он не в силах справиться с этой работой.; 이 세상에 우리를 당할 수 있는 자는 없다 Нет в мире такой силы, которая могла бы победить нас.
붉다	красный; 붉은 광장 Красная площадь
얼른	быстро; живо
감추다	прятать; скрывать; утаивать; 몸을 ~ прятаться; 자취를 ~ скрываться; исчезать из виду; 나이를 ~ скрывать свой возраст; 감추지 않고 не скрываясь
침묵	침묵 沈默; молчание; тишина; ~하다 молчать; ~을 깨다 (지키다) прервать (хранить) молчание; ~이 깃들다 затянулось (воцарилось) молчание
턱	1. челюсть; подбородок; ~을 악물다 сжимать (стискивать) челюсти; 위~ верхняя челюсть; 아래~ нижняя челюсть; 2. порог; небольшой выступ; ~이 지다 иметь выступ; немного выступать; 3. угощение по случаю какого события; 한 ~내다 угощать по случаю радостного события; 4. основание; мотив; повод; причина; 이런 일을 할 ~ 있나 Нет причины делать это.; 5. вдруг, неожиданно; совсем; сильно; крепко; невозмутимо; ~ 멎다 вдруг остановиться; ~ 쓰러지다 неожиданно упасть; 마음을 ~ 놓다 успокоиться; 숨이 ~ 막혔다 Сильно захватило дух.; ~ 잡다 крепко взять; 문앞에 ~ 버티고 서다 невозмутимо встать в дверях
괴다	턱을 ~ подпирать рукой подбородок
파헤치다	разгребать; копаться; раскидывать; взрывать; разрывать; раскрывать; 닭이 두엄을 ~ курица копается в навозе; 비밀(음모)을 ~ открывать тайну (заговор)
지체	происхождение; род; ~가 높다 высокое происхождение; ; 지체 肢體; конечности; ~가 부자유한 хромой; повреждённый; ~장애인 инвалид; калека; ; 지체 遲滯; задержка; приостановка; откладывание; отсрочка; ~하다 задерживать; отсрочивать; откладывать; ~없이 сразу же; незамедлительно
가정부	가정부 家政婦; домохозяйка
미련	глупость; тупость; ~스럽다 казаться глупым (тупым); ~하다 недогадливый; глупый; тупой; ~을 남기다 оставить рану в сердце; поселить в душе тоску; ; 미련 未練; неотвязная мысль; сожаление; ~을 가지다 быть (всё ещё) привязанным к кому-либо; тосковать по кому-либо
갈다	1. заменять; менять; 이름을 ~ поменять имя; 갈아 입다 переодеваться; 갈아타다 пересаживаться; делать пересадку; 2. точить; заострять; молоть; перетирать; править (бритву); 칼(날)을 ~ точить нож; 이를 ~ скрежетать зубами; 3. возделывать землю; пахать; 밭을 ~ вспахать поле
모처럼	нарочно; специально; впервые (за долгое время)
만날	изо дня в день; постоянно; всегда
으스스	~하다 чувствовать озноб; вызывать (испытывать) нервную дрожь
이지	이지 理智; интеллект; разум; ~적인 интеллектуальный; разумный; ~적인 사람 разумный человек
더구나	вдобавок; кроме того; сверх того; к тому же; 말을 함부로 하는데다 ~ 거짓말까지도 한다 Грубит, да в добавок еще и лжет
살해	살해 殺害; убийство; ~ 사건 убийство
불가사의	불가사의 不可思議; непостижимый; ~한 자연의 신비 непостижимое таинство природы; ~한 사건 необъяснимое происшествие
단서	단서 但書; исходный пункт; ключ; начало; путеводная нить; ~가 되다 служить поводом; ~를 잡다 найти ключ к чему
역할	역할 役割; роль; ~을 할당하다 отводить роль; ~하다 играть роль; исполнять долг (роль); 중대한 ~을 하다 играть важную роль (в чём)
각반	각반 脚絆; гетры; краги; обмотки для ног; ~을 치다 надевать гетры; наматывать обмотки
사냥	охота; ~하다 охотиться; 맹수 ~하다 охотиться на хищника; 여우를 ~하다 охотиться на лис; 매~ соколиная охота; 비둘기~ голубиная охота
채찍	кнут; бич; плётка
문틀	문틀 門-; дверная рама
닿다	соприкасаться с чем; прикасаться; доставать чего (до чего); добираться до чего; доноситься до чего; достигать чего (до чего); устанавливаться; 목적지에 ~ добираться до назначенного места; 손이 책상에 ~ прикоснуться рукой к столу; 기차가 정시에 닿았다 Поезд прибыл точно в установленное время.; 그는 힘이 닿는 데까지 달렸다 Он бежал что есть силы.; 전쟁 소식이 우리 마을에까지 닿았다 Весть о войне дошла до нашего села.
볕	солнечный свет; лучи солнца; светит солнце; ~에 앉아 꾸벅꾸벅 졸고 있는 고양이의 모습이 한가 롭다 Вид кошки, сидящей и дремлющей на солнце, непринужден.
주름살	морщина (на лице); складка
노기	노기 怒氣; гнев; ~가 어리다 гневный; ~를 띠고 с гневом; ~ 어린 얼굴 гневное лицо; ~등등하다 быть разгневанным (разъярённым); ~를띠다 быть в гневе
움푹	~하다 очень впалый; сильно вогнутый (посередине)
비록	хотя; ~ 농담이라 해도 хотя это и шутка ...
독수리	an eagle; a vulture.
떠올리다	всплывать (в памяти)
번갈아	alternately; by turns; in turn
미행	미행 尾行; слежка; ~하다 ходить по пятам; следить за кем-либо; ~자 сыщик
대체	대체 代替; замена; замещение; ~하다 заменять; поставлять что взамен чего; ; 대체 大體; главное; основное; суть; ~ 무었이 문제니? В чем же дело?
태연	태연 泰然; ~하다 спокойный; хладнокровный; невозмутимый
표정	표정 表情; выражение лица; чувство, выраженное на лице; мимика; ~이 풍부한 얼굴 выразительное лицо; 얼굴에 쓴 ~을 짓다 корчить рожу (гримасу; мину)
소리치다	cry; yell; shout; holler; bawl
여전하다	여전 如前; ~하다 как прежний
침착하다	침착 沈着; хладнокровие; самообладание; невозмутимость
어물쩍	~하다 уклоняться; хитрый
속셈	подсчёты в уме; ~하다 считать (подсчитывать) в уме; прикидывать (рассчитывать) в уме; 나는 비용을 ~해보고 흠칫 놀랐다 Я подсчитал в уме расходы и пришел в ужас!; ~이 뭐냐? Что ты подсчитываешь в уме?
설치	설치 設置; ~하다 устанавливать; монтировать; создавать; учреждать; основывать; ~대 станина; ~안 план; проект
참견	참견 參見; вмешательство; ~하다 вмешиваться; соваться; принимать личное участие; 남의 일에 ~하다 соваться (вмешиваться) в чужие дела; 외부에 ~없이 без вмешательства извне; 외부의 ~ постороннее вмешательство; 무의미한 ~ бессмысленное вмешательство; 이것은 네가 ~할 일이 안이다 Это не твоё дело.
잘하다	делать (исполнять; вести) хорошо (искусно; умело); успешно осуществлять
앞잡이	прислужник; приспешник; агент
유쾌	유쾌 愉快; ~하다 приятный; весёлый; ~하게 시간을 보내다 весело проводить время
문틈	문틈 門-; щель (щёлка) в двери
구부리다	bend
괜히	сокр. от 공연히 - напрасно, зря
성큼성큼	~걷다 ходить подпрыгивающей походкой
꽤	довольно, в известной степени, достаточно, в значительной степени, вполне
등기	등기 等記; 1. регистрация; 2. заказное почтовое отправление; ~우편 заказное почтовое отправление
투자	투자 投資; инвестиция; капиталовложение; ~하다 вкладывать (капитал); инвестировать
평가	평가 平價; нормальная (умеренная) цена; стабильная цена; ~ 절상 ревальвация; ~ 절하 девальвация; ; 평가 評價; оценка; ~하다 оценивать; 그는 좋은 ~를 받고 있다 Он пользуется хорошей репутацией.; 외모로 사람을 ~해서는 안된다 Не следует судить о человеке по его внешности.
연간	연간 年刊; в течение года; за год; ~ 10%씩 на десять процентов в год; ежегодно на десять процентов
하락	하락 下落; падение; снижение; ~하다 падать; снижаться; понижаться; 물가의 급격한 ~ резкое снижение цен; 주가가 ~한다 цена акций понижается
권리	권리 權利; право; ~가 있다 быть в праве; ~를 갖다 иметь право на что; ~ 를 되살려주다 восстановить кого в правах; ~를 박탈하다 лишать кого какого-либо права; ~ 를 부여하다 предоставлять кому право; ~를 축소하다 урезать кого в правах; ~를 행사하다 вступать в свой права; 한마디로 그녀는 그렇게 말할 권리가 없다 Одним словом, она не в праве говорить так; ~ 관계 правоотношение; ~계승 правопреемство; ~계긍자 правопреемник
적지	적지 敵地; территория, занятая противником; территория противника; ~에 깊숙이 들어가다 проникать в глубину территории врага; проникать вглубь вражеской территории
손실	손실 損失; убыток; ущерб; урон; потери; ~을 입다 понести потери (убытки ); потерпеть ущерб; ~을 주다 причинять (наносить) урон (убытки); 화재로 큰 ~을 입었다 Пожар причинил большие убытки.
타격	타격 打擊; удар; ~하다 бить; ударять; ~을 받다 терпеть удар; ~을 주다 наносить кому удар; 아버지의 사망은 나로서는 큰 ~이었다 Смерть отца была для меня большим ударом.; 대~ сильный (мощный) удар
동기	동기 冬期; = 동계(冬季); ; 동기 動機; повод; мотив; стимул; толчок; ~가 되다 послужить стимулом (толчком) к чему; ; 동기 同期; один период (курс; выпуск); однокурсник, -ца; синхронизм; 작년 ~와 비교해서 сравнивая этот период с периодом в прошлом году; ~ 발전기 синхронный генератор; ~변류기 конвертер; ; 동기 同氣; братья и сестры; ~간에 между братьями (сестрами)
사태	사태 事態; состояние дел; событие; 곤란한 ~ тяжёлое состояние дел; 국가 비상~ чрезвычайное положение дел в государстве; ; 사태 沙汰; обвал; оползень; наплыв; массовый поток; 불경기로 인해 실업자 ~가 났다 Из-за депрессии началась массовая безработица.; 이 ~에서 벗어날 수 있게 도와주세요 Помогите мне выпутаться из этой ситуации.
심각하다	심각 深刻; ~히 глубоко; серьёзно; всерьёз; остро
관여	관여 關與; ~하다 участвовать в чём; иметь отношение к чему
가세	가세 加勢; помощь; подмога; поддержка; ; 가세 家勢; экономическое положение семьи; ~가 넉넉하다 семья в хорошем финансовом положении
권총	권총 拳銃; пистолет; револьвер; ~의 пистолетный; ~으로 위헙하다 угрожать пистолетом (револьвером); ~을 가슴에 들이대다 приставить пистолет к груди; ~집 кобура; 경기영~ спортивный пистолет; 신호영~ сигнальный пистолет; 자동~ пистолет-пулемёт
소형	소형 小型; малый; малого формата; малых размеров; ~ 자동차 малолитражный автомобиль
신록	신록 新綠; цвет свежей травы (зелени); ~이 우거지다 покрыться зеленью; ~으로 덮다 скрыться в густой зелени; ~의 계절 сезон цветения
스치다	слегка задевать (касаться); скользить; промелькнуть; 시원한 바람이 얼굴을 스친다 Свежий ветер скользит по лицу.; 총알이 어깨를 스쳤다 Пуля слегка задела плечо.
배다	1. впитываться; проступать; просачиваться; запасть в душу; становиться привычным; пропитываться; 2. носить (ребёнка; детёныша); быть беременно; давать колос; колоситься; 3. густо; часты; тесны; ограниченны (о взглядах)
징조	징조 徵兆; знак; признак; симптом; намёк; ...의 ~가 되다 становиться признаком чего; ...의 ~를 보이다 намекать на что (о чём); 비가 올 ~가 보인다 Вероятно, будет дождь.; 불길한 ~ дурная примета
괴한	괴한 怪漢; чудак
이루다	создавать; образовывать; составлять; осуществлять; достигать; добиваться; 낙원을 ~ создать рай; 뜻을 ~ добиться своей цели; 잠을 ~ заснуть
쓸다	1. подметать; мести; сметать; 먼지를 ~ мести сор; 그녀는 방을 쓸었다 Она подмела комнату.; 쓰레기를 현관 아래에 쓸어 넣다 сметать мусор под крыльцо; 2.править; точить
목장	목장 牧場; животноводческая ферма
완만	완만 緩慢; медленность; отлогость; ~하다 медленный; медлительный; пологий; ~한 흐름 медленное течение; медленно текущий поток; ~한 비탈 пологий откос
차츰	#NAME?
지붕	крыша; ~이는 사람 кровельщик; 기와로 ~을 이다 покрывать дом черепицей; 기와 ~ черепичная кровля; 둥근 ~ купол
솟다	подниматься; возвышаться; бить ключом; выступать; торчать; топорщиться; прорываться; нахлынуть; 못이 솟아 있었다 Торчал гвоздь.; 불길이 솟는다 Возгорается пламя.; 산 위에 탑 하나가 우뚝 솟아 있다 На горе возвышается башня; 새로운 힘이 솟는 것을 느꼈다 Почувствовал прилив новых сил.; 이 도시에는 고층 건물이 솟아 있다 Возвышается высотное здание в этом городе.; 이마에 땀이 ~ на лбу выступил пот; 해가 솟는다 Восходит солнце.; 땅에서 샘물이 ~ Из-под земли бьёт ключ.
두렁	#NAME?
왼편	왼편 －便; = 왼쪽
옹기종기	кучей; грудой; толпой; плотно
치르다	платить; расплачиваться; переносить; претерпевать; совершать; выполнять; проводить; устраивать; принимать пищу
말머리	начало разговора (рассказа)
건축	건축 建築; строительство; сооружение; возведение; застройка; ~하다 строить; сооружать; возводить; застраивать; ~용의 строительный; предназначенный для строительства; ~공사 строительные работы; ~공학 технология строительства; ~기사 инженер-строитель; ~면적 площадь застройки; ~ 사무소 строительная контора; ~양식 архитектурный стиль; ~업자 строитель; ~ 재료 строительные материалы; стройматериалы; ~ 현장감독 прораб
용건	용건 用件; дело; дела; 급한 ~로 по срочному делу; но срочным делам
나누다	делить, разделять; 4를 2로 ~ делить два на четыре; 반씩 ~ делить по-братски пополам; 슬픔을 친구와 함께 ~ делить горе вместе с другом; 인사를 ~ обменяться приветствиями; 빅또르와 나는 정말로 피를 나눈 형제지간이다 Действительно, мы с Виктором кровные братья.; ~기 деление
영광	영광 榮光; слава; честь; ~스럽다 славный; почетный; 커다란 ~ 으로생각하다 считать что большой честью
들려주다	давать возможность послушать; рассказывать; давать знать кому; 노래를 ~ давать возможность послушать песню; 재미있는 이야기를 들려주시오 Расскажите что-нибудь интересное.
영악	영악 獰惡; ~하다 усердный и неутомимый; ~스레 усердно и неутомимо
노리다	замышлять; задумывать; выжидать;
데리다	брать с собой
석조	석조 石造; сделанное из камня
역시	역시 亦是; тоже; также; конце концов; как и ожидалось
갖추다	иметь; подготавливать; держать; приводить в порядок; обставлять; располагать; снабжать; 당당한 풍채를 ~ иметь внушительный вид; 방어 태세를 ~ занять оборонительную позицию; приготовиться к обороне
덧	добавочный; дополнительный; поверх чего; ~보태다 дополнительно добавлять; ~옷 верхняя одежда; ~입다 надевать поверх чего
인부	인부 人夫; чернорабочий; землекоп; грузчик; стивидор
손질	отделка; обработка; доработка; приведение в порядок; уход; починка; ~하다 дорабатывать; обрабатывать; отделывать; 집을 ~하다 ремонтировать дом; 의복을 ~하다 почистить (погладить) костюм; 화초의 ~하다 уход за цветами; 밭의 ~하다 уход за посевами
잔디	дёрн; газон; трава
세밀	세밀 細密; деталь; ~하다 детальный; тщательный; ~히 детально; тщательно
살피다	рассматривать; 창밖을 ~ смотреть в окно; 방안을 ~ рассматривать комнату
가운데	середина; центр; ~형 средний брат; ~를 자르다 разрубить посередине; внутренняя часть; ~로 들어가다 вступить на середину; 깊은 물 ~로 가라앉았다 утонуть глубоко в воде; середина; между; ~에 있다 находиться между; среди; 여럿 ~서 고르다 выбрать из нескольких; 가난한 생활 ~서 живя в бедности
꾸미다	1. украшать; декорировать; 2. шить; 3. притворяться кем-либо; врать; приукрашивать; 4. составлять; организовывать; 5. задумывать; замышлять; 꾸미지 않은 безыскусственный; бесхитростный; незатейливый; 꾸밈 затея; 꾸미지 않고 без затей (украшения); 문서를 ~ составлять документ; 방을 꽃으로 ~ украшать комнату цветами; 아픈 척 ~ притворяться больным; 음모를 ~ замышлять заговор; 이불을 ~ шить одеяло
구실	роль; долг; ~을 하다 играть роль; 제~을 하다 исполнить свой долг; ; 구실 口實; предлог; повод; оправдание; ...을 ~삼아 под предлогом; ~을 만들다 выдумывать предлог (отговорку); ~을 주다 дать повод
면밀	면밀 綿密; ~하다 тщательный; внимательный; подробный; обстоятельный; детальный
빗장	засов; задвижка
밀다	1. толкать; отталкивать; 2. строгать; брить
끼우다	вставлять; вкладывать; втыкать; допускать к участию в чём; 땅에다 말뚝을 ~ втыкать кол в землю; 끼움 вставка; 끼우는 창틀 вставная оконная рама; 부록을 끼워서 책을 비싸게 팔다 продавать дорого книгу с приложением
절대	절대 絶對; абсолютность; безусловность; ~의 абсолютный; категоричный; ~로 абсолютно; совершенно; категорически; безусловно
쓰다듬다	1. гладить; поглаживать; 2. утешать; уговаривать
반죽	тесто; ~하다 замешивать; месить
천장	천장 天障; потолок; ~에 매달려 있다 висеть на потолке
검소	검소 儉素; ~하다 скромный
씌우다	надевать что-либо на кого-либо, что-либо; 죄인에게 족쇄를 ~ надевать на преступника кандалы
까다	1. очищать; чистить; лущить; колоть; 사과 껍질을 ~ очищать яблоко; 완두콩 깍지를 ~ чистить горох; 2. выводить (цыплят); сидеть на яйцах; 병아리를 ~ выводить цыплят; 3. бить; сильно избивать; наносить увечья; 적을 ~ наносить врагу увечья
정사각형	정사각형 正四角形; квадрат
카펫	
판자	판자 板子; доска; ~를 대다 обшивать досками
널빤지	доска, обшивная доска или планка
참나무	дуб; ~누에 гусеница дубового шелкопряда; ~누에고치 кокон дубового шелкопряда
사방	사방 四方; четыре стороны света; вокруг; всюду; везде; 남자가 신경질적으로 ~을 종종 쳐다봤다 Мужчина нервно смотрел по сторонам.
세심	세심 細心; ~하다 внимательный; тщательный; скрупулёзный
늘어지다	удлиняться; растягиваться; свисать; обвисать; замедляться; сникнуть; размякнуть; спокойный; 늘어지게 잠을 자다 отоспаться; выспаться; 팔자가 ~ жить спокойно; 버드나무 가지가 늘어진다 Ветки ивы свисают.
베개	подушка; ~가 너무 높다 Подушка слишком высокая.; 환자 머리맡에 ~를 대어주었다 Больному подложили под голову подушку.
엎드리다	ложиться ничком (плашмя); пасть ничком
시선	시선 視線; взгляд; взор; ...와 ~이 마주치다 встретиться взглядом с кем; ~을 던지다 бросить взгляд; ~을 돌리다 обращать (устремлять) взор; ~을 피하다 укрываться от взгляда; ~을 향하다 направить взгляд на кого-что; взглянуть на кого-что
잡아당기다	тащить (к себе); перетягивать (на свою сторону)
