금테	金－; золотой (позолоченный) ободок; ~ 안경 очки в золотой (позолоченной) оправе
좁다랗다	and close;
빗기다	<a person's hair>.
착오	錯誤; ошибка; недоразумение; заблуждение; ~로 по ошибке; по недоразумению; ~하다 сделать (совершать; допускать) ошибку; ошибаться; заблуждаться; 커다란 ~ грубая (большая) ошибка; 철자법~ орфографическая ошибка; ~를 시인하다 признавать ошибку; 무언가 ~가 일어났음이 틀림없다 Должно быть, произошла какая-то ошибка.; 시대~ анахронизм; хронологическая ошибка; 시행~ попытки (пробы) и ошибки
양탄자	洋－; ковёр; ковровый; ...에 ~를 깔다 устилать что ковром; покрывать что ковром; ~를 깐 듯한 푸른 초원 зелёный ковёр луга; ~ 제조공장 ковровая фабрика
쌓이다	быть сложенным (наложенным); складываться; накладываться; накапливаться; быть заложенным; быть накопленным; 눈이 무릎까지 쌓였다 Снега навалило по колено.
수다	многословность; болтливость; ~를 떨다 болтать; трепать языком; балаболить; ~스런 사람 болтливый человек; ~스레 многословно; речисто
식사량	食事糧; количество пищи
직감	直感; (непосредственное) восприятие; интуиция; ~적으로 интуитивно; ~에 의존하다 полагаться на интуицию
이윽고	спустя некоторое время
일부러	намеренно; нарочно; специально
뒤집어엎다	переворачивать; опрокидывать; свергать; 잔을 ~ опрокинуть чашку; 적들의 주장을 ~ опровергнуть утверждение врагов
밟히다	быть истоптанным; заставлять (позволять) ступать (топтать); заставлять проходить; (позволять) следовать по пути
눌리다	быть придавленным; быть прижатым
