가수	歌手	Singer
일반적	一般的	Universal, general
일부	一部	A part, a portion
일상	日常	Everyday, usual, ordinary
일상생활	日常生活	Everyday (daily) life
일정	日程	To be fixed, settled, regular
일회용	一回用	For one time use
일회용품	一回用品	A product to be used only once
임금	賃金	Wages, pay
임시	臨時	Temporary, special
임신	妊娠	Pregnant
입구	入口	Entrance
입원	入院	Hospitalization
입원하다	入院-	To enter a hospital
입학	入學	Admission into school
입학하다	入學-	To enter/be admitted into a school
자가용	自家用	For personal/family use
자격	資格	Qualification
자기	自己	Oneself, number one, numerouno, self
자동	自動	self-acting, self-moving, automatic
자료	資料	materials,data
자세히	仔細-	In detail
자식	子息	one’s children
자신	自信	Self-confidence
자신	自身	one’s own self, one\\'s own body
자연	自然	Nature
자연스럽다	自然-	To be natural
자유	自由	Freedom
자유롭다	自由-	To be free
자체	自體	one’s own body
자판기	自販機	Vending machine
작가	作家	writer,author
잠시	暫時	For a little while
장	章	A chapter in a book
장갑	掌匣	A pair of gloves
장군	將軍	A general
장남	長男	The eldest son
장래	將來	The future
장점	長點	A merit,strong point
장학금	奬學金	Scholarship
재료	材料	stuff,material
재산	財産	property,fortune, assets, possessions
재작년	再昨年	The year before last
저번	這番	Last time, the other day
저자	著者	A writer,author
저축	貯蓄	savings,saving
적	敵	The enemy
적극	積極	The positive
적극적	積極的	Positively
적당하다	適當-	To be appropriate
적당히	適當-	suitable,proper
적용하다	適用-	To apply (sth to sth else)
전공	專攻	Specialty
전국	全國	The whole country
전기	電氣	Electricity
전날	前-	The day before, the day prior
전달하다	傳達-	To deliver
전문	專門	A specialty
전문가	專門家	A specialist
전부	全部	All, everything
전자	電子	An electron
전쟁	戰爭	War
전철	電鐵	An electric railway
전체	全體	The whole, the entire section
전체적	全體的	entirely,generally
전통	傳統	tradition,convention
전통적	傳統的	Traditional
전하다	傳-	To transmit,convey
전해지다	傳-	To be transmitted
전혀	全-	entirely,utterly,completely
전화기	電話機	Telephone receiver
절대	絶對	Absoluteness
절대로	絶對-	Absolutely
절반	折半	Half
절약하다	節約-	To economize
점	點	a spot, a blemish
점	店	Store
점수	點數	marks,the number of marks
점심때	點心-	Lunchtime
점원	店員	A shop-assistant
점점	漸漸	More and more, by degrees
점차	漸次	gradually,in steps
정	情	Feeling of attachment
정거장	停車場	A railroad station
정답	正答	The right answer
정도	程度	grade,degree
정리	整理	arrangment,regulation,adjustment
정리하다	整理-	To adjust
정말로	正-	Really
정문	正門	The front gate,main entrance
정보	情報	information,intelligence
정상	頂上	The top, summit
정식	正式	Formality, due form
정신	精神	mind,spirit
정신적	精神的	Mental
정원	庭園	Garden
정치	政治	Politics
정치적	政治的	Political
정하다	定-	To set,determine
정해지다	定-	To be determined, settled
정확하다	正確-	To be exact
정확히	正確-	Exactly
제공하다	提供-	offer,proffer
제목	題目	A subject, theme
제출하다	提出-	To submit,tender
제품	製品	Manufactured goods
제한	制限	limits,bounds
조각	彫刻	Sculpture
조건	條件	condition,stipulation
조사	調査	investigation,inquiry
조사하다	調査-	To examine,investigate
조상	祖上	Ancestors
조심스럽다	操心-	Cautious
조심하다	操心-	To be careful
존댓말	尊待-	Respectful speech
졸업생	卒業生	A graduate
종	種	A sort,kind,species
종교	宗敎	religion,a faith
종로	鍾路	Famous street in Seoul
종류	種類	kind,sort,species
종업원	從業員	waiter/waitress
종일	終日	All day, throughout the whole day
종합	綜合	Synthesis
좌석	座席	A seat
주로	主-	principally,mainly
주문하다	注文-	To order, to request
주변	周邊	A circumference
주부	主婦	A wife
주사	注射	A shot, an injection
주요	主要	The major, the chief thing
주위	周圍	The circumference,the girth
주인공	主人公	The head of a family, the hero/heroine
주장하다	主張-	To assert,maintain
주제	主題	Subject, theme, topic
주차	駐車	Parking
주차장	駐車場	Parking lot
주차하다	駐車-	To park
주택	住宅	A house
죽	粥	Rice porridge
준비되다	準備-	To be ready
준비물	準備物	Stuff that needs to be prepared
중	中	The center, the middle
중간	中間	In the middle
중국집	中國-	Chinese restaurant
중심	中心	The nucleus, the focus, the heart
중요	重要	importance,consequence
중요성	重要性	importance,gravity
즉	卽	namely,that is to say
즉시	卽時	At once,immediately
증상	症狀	Symptoms
증세	症勢	Symptoms, a patient’s condition
지구	地區	A district,region
지구	地球	The earth
지난번	-番	Last time
지방	地方	A locality, district
지역	地域	An area, region
지점	地點	A spot, point
지하도	地下道	Underground road
직업	職業	An occupation, calling
직원	職員	Staff
직장	職場	one’s work place
직접	直接	Directly
진짜	眞-	Real
진출	進出	An advance
진하다	津-	Be dark, deep
진행되다	進行-	To have progressed, be advanced
진행하다	進行-	Advance, proceed
질	質	Quality, character
질서	秩序	Order, system
집중	集中	Concentration
차남	次男	one’s second eldest son
차례	次例	(1) order,precedence  (2) one time, one round
차이	差異	difference,disparity
참가하다	參加-	To take part in, join
참석하다	參席-	To attend, take part in
찻잔	茶盞	A teacup
창고	倉庫	A warehouse,storehouse
창밖	窓-	Outside the window
채소	菜蔬	vegetables,greens
책가방	冊-	Bookbag
책방	冊房	Reading room
책임	責任	Responsibility
책임자	責任者	Person responsible
철	계절	Season (the 4)
청년	靑年	A young man, a youth
청소기	淸掃機	A vacuum cleaner
청소년	靑少年	Young boys and girls, teenagers
체육	體育	Physical education
체중	體重	Body weight
초	初	Initial, in the beginning, first
초	秒	A second
초록색	草綠色	Green
초밥	醋-	Japanese vinegared rice vegetables
초보	初步	Initial, first steps
초보자	初步者	A beginner, neophyte
초청장	招請狀	An invitation (card)
총장	總長	The president, the chancellor (university’s)
촬영	撮影	Photographing, taking pictures/films
최고	最高	The best
최근	最近	Recently
최대	最大	The greatest, the largest
최선	最善	The best, one’s best
최소한	最小限	Atleast
최초	最初	In the very first, in the beginning
추억	追憶	Memory
축구공	蹴球-	A soccer ball
축제	祝祭	a festival
축하	祝賀	Congratulation, celebration
출구	出口	An exit
출근	出勤	Going to work
출근하다	出勤-	To go to work
출발	出發	To start (a journey,trip)
출연하다	出演-	Appear on stage, act, sing
출입	出入	Coming and going
출입문	出入門	Door for exiting and entering
출장	出張	A business trip
충격	衝擊	An impact, a shock
충분하다	充分-	To be sufficient, ample
충분히	充分-	Enough, sufficiently
취소	取消	Cancellation, anulment
취소하다	取消-	To cancel, calloff
취직	就職	Employment, getting a job
취하다	取-	To adopt, assume, take
취하다	醉-	To be drunk
치과	齒科	A dentist
치료	治療	Medical treatment, medical care
치료하다	治療-	To cure, heal, treat a patient
친절	親切	Kindness, goodness
친척	親戚	Relatives
친하다	親-	To be intimate, familiar, close, friendly
침실	寢室	Bedroom
칭찬	稱讚	Praide, admiration
탑	塔	A tower
태도	態度	attitude,comportment
태양	太陽	The sun
태풍	颱風	Typhoon
토론	討論	A debate, discussion
통	桶	A tub, a cask
통	通	Counters for letters
통신	通信	communications,correspondance
통일	統一	Unification
통장	通帳	A bankbook (check register)
통하다	通-	Run, lead; flow; go through
퇴근	退勤	Leaving one’s office, coming home from work
퇴근하다	退勤-	To go home from work
특별	特別	Be special, extraordinary
특별하다	特別-	To be special, extraordinary
특별히	特別-	Especially
특징	特徵	A special feature, a distinguishing feature
특히	特-	Especially
파도	波濤	Waves, billows
판단	判斷	A judgment, a conclusion
판매	販賣	Sale, selling
판매하다	販賣-	To sell
편	篇	Compilation, editing
편리하다	便利-	To be convenient, handy
편안하다	便安-	To be peaceful
편하다	便-	Untroubled from cares
편히	便-	Easily, comfortably
평범하다	平凡-	Plain, average
평생	平生	A lifetime
평소	平素	Ordinary times, ordinarily
평일	平日	A weekday
평화	平和	Peace
포기하다	抛棄-	To give up, to abandon
포도주	葡萄酒	Grape wine
포장	包裝	packing,wrapping
포함되다	包含-	To be included in
포함하다	包含-	To include,contain
폭	幅	Width; range
표시하다	表示-	To make a sign, display
표정	表情	Facial expression, look
표현	表現	Verbal expression, representation, manifestation
표현하다	表現-	To express, make known by saying
풍경	風景	Landscape, scenery
피로	疲勞	Fatigue, exhaustion
피로하다	疲勞-	To be fatigued, weary
피부	皮膚	Skin
필통	筆筒	Pencil case
하숙집	下宿-	Dormitory, boarding house
하얀색	-色	White
하여튼	何如-	Anyways
학기	學期	An educational term
학생증	學生證	Student identification
학습	學習	Learning, education
학원	學院	Learning institute
한국적	韓國的	Korean (adjective)
한잔	-盞	A drink of liquor
한잔하다	­盞-	To drink a glass of liquor
한편	-便	One side, one way
할인	割引	A discount
합격	合格	Success in an examination
합치다	合-	combine,unite
해결	解決	Solution, settlement
해결하다	解決-	To fix a problem, solve a question
해석	解釋	Interpretation, a comment
해외	海外	Abroad, foreign countries
해외여행	海外旅行	Foreign travel
행동	行動	Action, behavior
행동하다	行動-	To act, behave
행복	幸福	Happiness
행복하다	幸福-	To be happy
행사	行事	An event, a function
향기	香氣	fragrance,aroma,perfume
향수	香水	A perfume
향하다	向-	To face, look out on
허용하다	許容-	To permit, approve, grant, allow
현관	玄關	The porch, the entrance
현금	現金	Cash, ready funds, not a credit card
현대	現代	The present age, times
현재	現在	The present time, now, at present
현지	現地	The actual place, the very spot
형님	兄-	The respectful, proper way a man refers to an older friend
형부	兄夫	A husband of a girl’s older sister
형제	兄弟	Brothers and sisters
호랑이	虎狼-	A tiger
호선	號線	The track number for a train
호수	湖水	A lake
혹은	或-	If that’s not the case
홍차	紅茶	Tea, black tea
화가	畵家	A painter, a drawer artist
화나다	火-	Get angry
화려하다	華麗-	Splendor, magnificence of a display, a look
화분	花盆	Flower pot
화장품	化粧品	Makup, cosmetics
확대되다	擴大-	To be magnified
확대하다	擴大-	To enlarge,magnify
확실하다	確實-	To be sure, certain
확실히	確實-	certainly,for sure
확인	確認	A check,confirmation
확인하다	確認-	To confirm,corroborate
환갑	還甲	one’s 60th anniversary
환경	環境	Environment
환영	歡迎	Welcome
활동	活動	Activity
활동하다	活動-	To be active, lead an active life
활발하다	活潑-	Be lively, sprightly
활용하다	活用-	Utilize, make practical use of
회복하다	回復-	To recover, get better, get well again
회색	灰色	Gray
회원	會員	A member of a society
회장	會長	Chariman, the president
회화	繪畵	Conversations, talk
횡단보도	橫斷步道	Crossing
효과	效果	Effect, effectiveness
후배	後輩	one’s junior
후회하다	後悔-	To regret
휴가	休暇	holidays,vacation
흥미	興味	interest,zeal
희망	希望	Hope, wish
